Sample 244: No. iterations = 512, Error = 0.00147417
Sample 245: No. iterations = 512, Error = 0.485949
Sample 246: No. iterations = 512, Error = 0.00223178
Sample 247: No. iterations = 512, Error = 0.00174852
Sample 248: No. iterations = 512, Error = 0.00334561
Sample 249: No. iterations = 512, Error = 0.00334634
Sample 250: No. iterations = 392, Error = 0.0009989
Sample 251: No. iterations = 512, Error = 0.0013361
Sample 252: No. iterations = 512, Error = 0.00233416
Sample 253: No. iterations = 512, Error = 0.00275578
Sample 254: No. iterations = 512, Error = 0.002729
Sample 255: No. iterations = 512, Error = 0.00135942
Sample 256: No. iterations = 512, Error = 0.00224219
Sample 257: No. iterations = 512, Error = 0.0126884
Sample 258: No. iterations = 512, Error = 0.00249943
Sample 259: No. iterations = 512, Error = 0.00186778
Sample 260: No. iterations = 512, Error = 0.00213555
Sample 261: No. iterations = 512, Error = 0.00325754
Sample 262: No. iterations = 512, Error = 0.00131189
Sample 263: No. iterations = 512, Error = 0.00263513
Sample 264: No. iterations = 247, Error = 0.000998833
Sample 265: No. iterations = 512, Error = 0.497686
Sample 266: No. iterations = 512, Error = 0.00136476
Sample 267: No. iterations = 512, Error = 0.00352131
Sample 268: No. iterations = 512, Error = 0.00244716
Sample 269: No. iterations = 512, Error = 0.00197929
Sample 270: No. iterations = 512, Error = 0.00267469
Sample 271: No. iterations = 512, Error = 0.00197801
Sample 272: No. iterations = 512, Error = 0.00234913
Sample 273: No. iterations = 512, Error = 0.00174501
Sample 274: No. iterations = 512, Error = 0.00219537
Sample 275: No. iterations = 512, Error = 0.00292524
Sample 276: No. iterations = 512, Error = 0.0010255
Sample 277: No. iterations = 502, Error = 0.00099889
Sample 278: No. iterations = 512, Error = 0.00251043
Sample 279: No. iterations = 512, Error = 0.00371969
Sample 280: No. iterations = 512, Error = 0.00224511
Sample 281: No. iterations = 512, Error = 0.00334153
Sample 282: No. iterations = 455, Error = 0.000999857
Sample 283: No. iterations = 512, Error = 0.00205024
Sample 284: No. iterations = 511, Error = 0.000999936
Sample 285: No. iterations = 512, Error = 0.00291054
Sample 286: No. iterations = 512, Error = 0.00105875
Sample 287: No. iterations = 512, Error = 0.00240935
Sample 288: No. iterations = 512, Error = 0.00158433
Sample 289: No. iterations = 512, Error = 0.00190432
Sample 290: No. iterations = 512, Error = 0.00203244
Sample 291: No. iterations = 27, Error = 0.000999756
Sample 292: No. iterations = 512, Error = 0.00214302
Sample 293: No. iterations = 512, Error = 0.00160457
Sample 294: No. iterations = 512, Error = 0.00193463
Sample 295: No. iterations = 512, Error = 0.00122421
Sample 296: No. iterations = 512, Error = 0.00189758
Sample 297: No. iterations = 512, Error = 0.00138848
Sample 298: No. iterations = 1, Error = 0.000964945
Sample 299: No. iterations = 1, Error = 0.000535699
Sample 300: No. iterations = 512, Error = 0.00160476
Sample 301: No. iterations = 512, Error = 0.00238877
Sample 302: No. iterations = 512, Error = 0.00112944
Sample 303: No. iterations = 512, Error = 0.00170663
Sample 304: No. iterations = 512, Error = 0.00127806
Sample 305: No. iterations = 512, Error = 0.00262503
Sample 306: No. iterations = 512, Error = 0.00218512
Sample 307: No. iterations = 512, Error = 0.00177031
Sample 308: No. iterations = 512, Error = 0.00150722
Sample 309: No. iterations = 512, Error = 0.00313129
Sample 310: No. iterations = 512, Error = 0.00221645
Sample 311: No. iterations = 512, Error = 0.00117365
Sample 312: No. iterations = 512, Error = 0.0012575
Sample 313: No. iterations = 512, Error = 0.00181366
Sample 314: No. iterations = 512, Error = 0.0033339
Sample 315: No. iterations = 512, Error = 0.0024273
Sample 316: No. iterations = 512, Error = 0.0016174
Sample 317: No. iterations = 512, Error = 0.00144501
Sample 318: No. iterations = 512, Error = 0.0026998
Sample 319: No. iterations = 512, Error = 0.00251414
Sample 320: No. iterations = 512, Error = 0.00298755
Sample 321: No. iterations = 512, Error = 0.00208755
Sample 322: No. iterations = 512, Error = 0.00185778
Sample 323: No. iterations = 512, Error = 0.00151906
Sample 324: No. iterations = 512, Error = 0.0020464
Sample 325: No. iterations = 512, Error = 0.00180521
Sample 326: No. iterations = 512, Error = 0.0020717
Sample 327: No. iterations = 512, Error = 0.00132514
Sample 328: No. iterations = 512, Error = 0.00183214
Sample 329: No. iterations = 512, Error = 0.00219871
Sample 330: No. iterations = 512, Error = 0.00270475
Sample 331: No. iterations = 512, Error = 0.00174901
Sample 332: No. iterations = 248, Error = 0.000999791
Sample 333: No. iterations = 512, Error = 0.00210078
Sample 334: No. iterations = 512, Error = 0.00189125
Sample 335: No. iterations = 512, Error = 0.00300236
Sample 336: No. iterations = 512, Error = 0.00176349
Sample 337: No. iterations = 512, Error = 0.00201797
Sample 338: No. iterations = 1, Error = 0.000303372
Sample 339: No. iterations = 512, Error = 0.00130448
Sample 340: No. iterations = 512, Error = 0.0015967
Sample 341: No. iterations = 512, Error = 0.003259
Sample 342: No. iterations = 512, Error = 0.0015091
Sample 343: No. iterations = 512, Error = 0.00246894
Sample 344: No. iterations = 512, Error = 0.00131182
Sample 345: No. iterations = 512, Error = 0.00240735
Sample 346: No. iterations = 512, Error = 0.00157707
Sample 347: No. iterations = 512, Error = 0.00254683
Sample 348: No. iterations = 322, Error = 0.000999852
Sample 349: No. iterations = 512, Error = 0.00175545
Sample 350: No. iterations = 389, Error = 0.00099965
Sample 351: No. iterations = 512, Error = 0.00174413
Sample 352: No. iterations = 512, Error = 0.00178866
Sample 353: No. iterations = 512, Error = 0.00124467
Sample 354: No. iterations = 512, Error = 0.00208649
Sample 355: No. iterations = 512, Error = 0.00249627
Sample 356: No. iterations = 512, Error = 0.00195477
Sample 357: No. iterations = 512, Error = 0.00202039
Sample 358: No. iterations = 215, Error = 0.000999543
Sample 359: No. iterations = 512, Error = 0.00229071
Sample 360: No. iterations = 512, Error = 0.0014325
Sample 361: No. iterations = 512, Error = 0.0020941
Sample 362: No. iterations = 512, Error = 0.00133158
Sample 363: No. iterations = 512, Error = 0.00260107
Sample 364: No. iterations = 512, Error = 0.00170968
Sample 365: No. iterations = 512, Error = 0.0019893
Sample 366: No. iterations = 437, Error = 0.000999991
Sample 367: No. iterations = 512, Error = 0.00146467
Sample 368: No. iterations = 512, Error = 0.0011952
Sample 369: No. iterations = 512, Error = 0.00205428
Sample 370: No. iterations = 512, Error = 0.00162843
Sample 371: No. iterations = 512, Error = 0.00207769
Sample 372: No. iterations = 1, Error = 0.000763277
Sample 373: No. iterations = 512, Error = 0.00159605
Sample 374: No. iterations = 85, Error = 0.000999619
Sample 375: No. iterations = 512, Error = 0.00223495
Sample 376: No. iterations = 512, Error = 0.00112947
Sample 377: No. iterations = 512, Error = 0.00294173
Sample 378: No. iterations = 178, Error = 0.000998577
Sample 379: No. iterations = 506, Error = 0.000998724
Sample 380: No. iterations = 512, Error = 0.00108873
Sample 381: No. iterations = 512, Error = 0.00170579
Sample 382: No. iterations = 493, Error = 0.000998726
Sample 383: No. iterations = 512, Error = 0.00201274
Sample 384: No. iterations = 512, Error = 0.00163216
Sample 385: No. iterations = 512, Error = 0.00167564
Sample 386: No. iterations = 339, Error = 0.000999596
Sample 387: No. iterations = 512, Error = 0.0022948
Sample 388: No. iterations = 302, Error = 0.000997972
Sample 389: No. iterations = 512, Error = 0.00314201
Sample 390: No. iterations = 512, Error = 0.00222267
Sample 391: No. iterations = 512, Error = 0.00312712
Sample 392: No. iterations = 512, Error = 0.00127954
Sample 393: No. iterations = 512, Error = 0.00112966
Sample 394: No. iterations = 512, Error = 0.00146588
Sample 395: No. iterations = 512, Error = 0.00353114
Sample 396: No. iterations = 512, Error = 0.00113204
Sample 397: No. iterations = 512, Error = 0.00235165
Sample 398: No. iterations = 512, Error = 0.00194654
Sample 399: No. iterations = 499, Error = 0.000999373
Sample 400: No. iterations = 512, Error = 0.00195184
Sample 401: No. iterations = 512, Error = 0.00163652
Sample 402: No. iterations = 512, Error = 0.0012744
Sample 403: No. iterations = 512, Error = 0.0012352
Sample 404: No. iterations = 512, Error = 0.00119877
Sample 405: No. iterations = 512, Error = 0.00228506
Sample 406: No. iterations = 512, Error = 0.00179723
Sample 407: No. iterations = 1, Error = 0.000680432
Sample 408: No. iterations = 469, Error = 0.000998821
Sample 409: No. iterations = 141, Error = 0.000999582
Sample 410: No. iterations = 512, Error = 0.00145815
Sample 411: No. iterations = 512, Error = 0.00159689
Sample 412: No. iterations = 332, Error = 0.000999648
Sample 413: No. iterations = 512, Error = 0.00219977
Sample 414: No. iterations = 1, Error = 9.49673e-05
Sample 415: No. iterations = 478, Error = 0.000999873
Sample 416: No. iterations = 512, Error = 0.00201542
Sample 417: No. iterations = 512, Error = 0.00191897
Sample 418: No. iterations = 512, Error = 0.00352327
Sample 419: No. iterations = 512, Error = 0.00302149
Sample 420: No. iterations = 512, Error = 0.00284663
Sample 421: No. iterations = 512, Error = 0.00246234
Sample 422: No. iterations = 512, Error = 0.00134767
Sample 423: No. iterations = 512, Error = 0.00242966
Sample 424: No. iterations = 512, Error = 0.00236614
Sample 425: No. iterations = 512, Error = 0.00190549
Sample 426: No. iterations = 512, Error = 0.00230809
Sample 427: No. iterations = 512, Error = 0.00191898
Sample 428: No. iterations = 512, Error = 0.00124635
Sample 429: No. iterations = 1, Error = 0.000626257
Sample 430: No. iterations = 465, Error = 0.000999229
Sample 431: No. iterations = 512, Error = 0.00133184
Sample 432: No. iterations = 1, Error = 2.92634e-05
Sample 433: No. iterations = 512, Error = 0.00209121
Sample 434: No. iterations = 512, Error = 0.00111672
Sample 435: No. iterations = 512, Error = 0.00190729
Sample 436: No. iterations = 1, Error = 0.000181585
Sample 437: No. iterations = 512, Error = 0.00201229
Sample 438: No. iterations = 512, Error = 0.00134633
